12wDate,Team,Pitcher,Open,Close,OpenOU,CloseOU
328,SEA,FHERNANDZ-R,-123,-140,7,7
328,OAK,BMCCARTHY-R,103,120,7,7
329,SEA,JVARGAS-L,-110,-108,8.5,8.5
329,OAK,BCOLON-R,-110,-112,8.5,8.5
404,STL,KLOHSE-R,153,160,7,7
404,MIA,JJOHNSON-R,-173,-180,7,7
405,ATL,THANSON-R,-105,-109,7,7
405,NYM,JSANTANA-L,-105,-111,7,7
405,PHI,RHALLADAY-R,-196,-155,6.5,7
405,PIT,EBEDARD-L,176,135,6.5,7
405,WAS,STRASBURG-R,-170,-139,6.5,6.5
405,CUB,RDEMPSTER-R,150,119,6.5,6.5
405,MIA,MBUEHRLE-L,130,110,7.5,7.5
405,CIN,JCUETO-R,-150,-130,7.5,7.5
405,LOS,CKERSHAW-L,-145,-155,6,6
405,SDG,EVOLQUEZ-R,125,135,6,6
405,BOS,JLESTER-L,115,124,7,7
405,DET,VERLANDER-R,-135,-144,7,7
405,TOR,RROMERO-L,-115,-118,7,7
405,CLE,JMASTERSN-R,-105,-102,7,7
406,STL,JGARCIA-L,110,105,7.5,7.5
406,MIL,YGALLARDO-R,-130,-125,7.5,7.5
406,SFO,TLINCECUM-R,-107,-107,7,7
406,ARI,IKENNEDY-R,-113,-113,7,7
406,COL,JGUTHRIE-R,-113,-130,8,7.5
406,HOU,WRODRIGUZ-L,-107,110,8,7.5
406,LOS,BILLINGSLY-R,-107,103,6,6
406,SDG,CLUEBKE-L,-113,-123,6,6
406,CWS,JDANKS-L,142,164,9.5,9.5
406,TEX,CLEWIS-R,-162,-184,9.5,9.5
406,MIN,CPAVANO-R,107,-105,9,9
406,BAL,JARRIETA-R,-127,-115,9,9
406,NYY,CSABATHIA-L,-130,-130,7,7
406,TAM,JSHIELDS-R,110,110,7,7
406,KAN,BCHEN-L,178,200,7,7
406,LAA,JWEAVER-R,-198,-230,7,7
406,SEA,JVARGAS-L,117,132,7,6.5
406,OAK,BMCCARTHY-R,-137,-152,7,6.5
407,WAS,GGONZALEZ-L,-113,-101,9,9
407,CUB,MGARZA-R,-107,-119,9,9
407,ATL,JJURRJENS-R,-112,-113,7,7
407,NYM,RDICKEY-R,-108,-107,7,7
407,STL,WAINWRIGHT-R,-107,100,7,7
407,MIL,ZGREINKE-R,-113,-120,7,7
407,SFO,BUMGARNER-L,-102,-105,8,8
407,ARI,DHUDSON-R,-118,-105,8,8
407,COL,JMOYER-L,-109,-130,9,9
407,HOU,LHARRELL-R,-111,110,9,9
407,PHI,CLEE-L,-168,-165,6.5,6.5
407,PIT,JKARSTENS-R,148,145,6.5,6.5
407,MIA,RNOLASCO-R,140,115,8,8
407,CIN,MLATOS-R,-160,-135,8,8
407,LOS,CCAPUANO-L,-112,-114,7,7
407,SDG,DMOSELEY-R,-108,-106,7,7
407,TOR,BMORROW-R,-105,-115,8,8
407,CLE,UJIMENEZ-R,-105,-105,8,8
407,BOS,JBECKETT-R,-106,-105,7.5,7.5
407,DET,DFISTER-R,-114,-105,7.5,7.5
407,KAN,LHOCHEVAR-R,175,162,7.5,7.5
407,LAA,DHAREN-R,-205,-182,7.5,7.5
407,MIN,FLIRIANO-L,-105,-122,9,8.5
407,BAL,THUNTER-R,-105,102,9,8.5
407,NYY,HKURODA-R,-110,-103,8,7.5
407,TAM,DPRICE-L,-110,-117,8,7.5
407,CWS,JPEAVY-R,155,147,9.5,9.5
407,TEX,DHOLLAND-L,-175,-167,9.5,9.5
407,SEA,FHERNANDZ-R,-117,-120,6.5,6.5
407,OAK,BCOLON-R,-103,100,6.5,6.5
408,ATL,MMINOR-L,-114,-125,8,7.5
408,NYM,JNIESE-L,-106,105,8,7.5
408,MIA,CZAMBRANO-R,104,105,9,9.5
408,CIN,BARROYO-R,-124,-125,9,9.5
408,PHI,VWORLEY-R,-130,-127,7.5,7.5
408,PIT,JMCDONALD-R,110,107,7.5,7.5
408,COL,JNICASIO-R,-127,-131,8,7.5
408,HOU,BNORRIS-R,107,111,8,7.5
408,STL,LLYNN-R,-113,-105,8.5,8.5
408,MIL,RWOLF-L,-107,-115,8.5,8.5
408,WAS,ZIMMERMANN-R,-130,-123,9,9
408,CUB,SAMARDZIJA-R,110,103,9,9
408,LOS,AHARANG-R,-106,-109,7,7
408,SDG,CRICHARD-L,-114,-111,7,7
408,SFO,MCAIN-R,-109,-133,8,8.5
408,ARI,COLLMENTER-R,-111,113,8,8.5
408,BOS,CBUCHHOLZ-R,-113,-107,8.5,9
408,DET,MSCHERZER-R,-107,-113,8.5,9
408,TOR,JCARRENO-R,-105,-104,8.5,8.5
408,CLE,DLOWE-R,-115,-116,8.5,8.5
408,MIN,ASWARZAK-R,-113,-110,9,9
408,BAL,JHAMMEL-R,-107,-110,9,9
408,NYY,PHUGHES-R,100,-115,8.5,8.5
408,TAM,HELLICKSON-R,-120,-105,8.5,8.5
408,KAN,JSANCHEZ-L,147,149,8,8.5
408,LAA,ESANTANA-R,-167,-169,8,8.5
408,CWS,GFLOYD-R,170,160,9,9
408,TEX,MHARRISON-L,-190,-180,9,9
409,MIA,ASANCHEZ-R,137,130,7,7
409,PHI,CHAMELS-L,-157,-150,7,7
409,SFO,BZITO-L,135,140,9,9.5
409,COL,JCHACIN-R,-155,-160,9,9.5
409,STL,WESTBROOK-R,110,-110,9,9
409,CIN,HBAILEY-R,-130,-110,9,9
409,WAS,EJACKSON-R,-113,-105,8,8
409,NYM,MPELFREY-R,-107,-105,8,8
409,ATL,BBEACHY-R,-155,-162,9,7.5
409,HOU,JHAPP-L,135,142,9,7.5
409,MIL,SMARCUM-R,-120,-131,8.5,8.5
409,CUB,CVOLSTAD-R,100,111,8.5,8.5
409,LAA,CWILSON-L,-165,-160,8,7.5
409,MIN,BLACKBURN-R,145,140,8,7.5
409,CWS,CSALE-L,100,-109,8,7
409,CLE,JTOMLIN-R,-120,-111,8,7
409,BOS,FDOUBRONT-L,105,107,9,9.5
409,TOR,HALVAREZ-R,-125,-127,9,9.5
409,NYY,INOVA-R,-180,-150,9.5,9.5
409,BAL,BMATUSZ-L,160,130,9.5,9.5
409,SEA,HNOESI-R,190,200,9,9
409,TEX,YDARVISH-R,-220,-240,9,9
409,KAN,LMENDOZA-R,-105,-103,8,7.5
409,OAK,TMILONE-L,-115,-117,8,7.5
