Date,Team,Pitcher,Open,Close,Open OU,Close OU
320,SEA,MGONZALES-L,107,120,8.5,8.5
320,OAK,MFIERS-R,-127,-130,8.5,8.5
321,SEA,YKIKUCHI-L,109,-125,9,9
321,OAK,MESTRADA-R,-129,115,9,9
328,NYM,JDEGROM-R,110,115,6.5,6.5
328,WAS,MSCHERZER-R,-121,-125,6.5,6.5
328,STL,MMIKOLAS-R,104,104,8.5,8.5
328,MIL,JCHACIN-R,-114,-114,8.5,8.5
328,ATL,JTEHERAN-R,170,170,7.5,8
328,PHI,ANOLA-R,-190,-185,7.5,8
328,PIT,JTAILLON-R,105,107,8,8.5
328,CIN,LCASTILLO-R,-115,-117,8,8.5
328,ARI,ZGREINKE-R,144,155,7.5,7
328,LAD,HRYU-L,-160,-165,7.5,7
328,SFO,MBUMGARNER-L,-114,117,8,7.5
328,SDG,ELAUER-L,104,-127,8,7.5
328,COL,KFREELAND-L,-145,-135,7.5,7.5
328,MIA,JURENA-R,131,125,7.5,7.5
328,BAL,ACASHNER-R,296,320,9,9
328,NYY,MTANAKA-R,-340,-380,9,9
328,DET,JZIMMERMANN-R,126,132,9,8.5
328,TOR,MSTROMAN-R,-140,-142,9,8.5
328,HOU,JVERLANDER-R,-121,-128,6.5,7
328,TAM,BSNELL-L,110,118,6.5,7
328,LAA,TCAHILL-R,110,-108,9,8.5
328,OAK,MFIERS-R,-121,-102,9,8.5
328,CLE,CKLUBER-R,-135,107,7.5,7.5
328,MIN,JBERRIOS-R,122,-117,7.5,7.5
328,CWS,CRODON-L,104,106,8.5,8.5
328,KAN,BKELLER-R,-114,-116,8.5,8.5
328,BOS,CSALE-L,-185,-210,7,7
328,SEA,MGONZALES-L,166,190,7,7
328,CUB,JLESTER-L,-135,-115,9.5,9.5
328,TEX,MMINOR-L,122,105,9.5,9.5
329,COL,GMARQUEZ-R,-155,-152,7.5,7
329,MIA,TRICHARDS-R,135,142,7.5,7
329,STL,JFLAHERTY-R,106,-108,8.5,8.5
329,MIL,FPERALTA-R,-126,-102,8.5,8.5
329,SFO,DHOLLAND-L,130,145,7.5,7.5
329,SDG,JLUCCHESI-L,-150,-155,7.5,7.5
329,ARI,RRAY-L,144,160,7.5,7
329,LAD,RSTRIPLING-R,-165,-170,7.5,7
329,DET,MBOYD-L,115,111,9,9
329,TOR,MSHOEMAKER-R,-135,-121,9,9
329,HOU,GCOLE-R,-145,-138,7,7
329,TAM,CMORTON-R,125,128,7,7
329,LAA,MHARVEY-R,101,-109,8,8.5
329,OAK,MESTRADA-R,-121,-101,8,8.5
329,BOS,NEOVALDI-R,-150,-139,8,8
329,SEA,YKIKUCHI-L,130,129,8,8
330,NYM,NSYNDERGAARD-R,110,102,7,7.5
330,WAS,SSTRASBURG-R,-130,-112,7,7.5
330,ATL,BWILSON-R,125,135,8.5,9
330,PHI,NPIVETTA-R,-145,-145,8.5,9
330,COL,TANDERSON-L,-145,-128,8,7.5
330,MIA,PLOPEZ-R,125,118,8,7.5
330,STL,DHUDSON-R,105,122,8.5,9
330,MIL,BWOODRUFF-R,-125,-132,8.5,9
330,SFO,DRODRIGUEZ-R,105,120,7.5,7.5
330,SDG,NMARGEVICIUS-L,-125,-130,7.5,7.5
330,ARI,ZGODLEY-R,151,177,7.5,7.5
330,LAD,KMAEDA-R,-175,-194,7.5,7.5
330,BAL,NKARNS-R,299,340,8.5,8.5
330,NYY,JPAXTON-L,-375,-410,8.5,8.5
330,CLE,TBAUER-R,-110,-120,8,7
330,MIN,JODORIZZI-R,-110,110,8,7
330,CWS,RLOPEZ-R,-105,120,8.5,7.5
330,KAN,JJUNIS-R,-115,-130,8.5,7.5
330,DET,STURNBULL-R,120,116,9,8.5
330,TOR,ASANCHEZ-R,-140,-126,9,8.5
330,HOU,CMCHUGH-R,-130,-118,7.5,8
330,TAM,TGLASNOW-R,110,108,7.5,8
330,LAA,FPENA-R,105,109,8.5,8.5
330,OAK,BANDERSON-L,-125,-119,8.5,8.5
330,BOS,ERODRIGUEZ-L,-150,-158,8.5,8.5
330,SEA,MLEAKE-R,130,148,8.5,8.5
330,CUB,YDARVISH-R,-150,-155,9.5,9.5
330,TEX,EVOLQUEZ-R,130,145,9.5,9.5
331,PIT,JMUSGROVE-R,120,125,8.5,8
331,CIN,SGRAY-R,-140,-135,8.5,8
331,COL,JGRAY-R,-150,-158,7.5,7.5
331,MIA,SALCANTARA-R,130,148,7.5,7.5
331,NYM,ZWHEELER-R,110,155,7.5,7
331,WAS,PCORBIN-L,-130,-165,7.5,7
331,STL,MWACHA-R,100,100,8,9
331,MIL,CBURNES-R,-120,-110,8,9
331,ARI,LWEAVER-R,192,177,7.5,7.5
331,LAD,WBUEHLER-R,-230,-194,7.5,7.5
331,SFO,JSAMARDZIJA-R,125,162,8,7.5
331,SDG,CPADDACK-R,-145,-174,8,7.5
331,ATL,KWRIGHT-R,130,130,8.5,8
331,PHI,JARRIETA-R,-150,-140,8.5,8
331,BAL,DBUNDY-R,281,280,9,8.5
331,NYY,JHAPP-L,-350,-320,9,8.5
331,DET,MMOORE-L,115,142,9,9
331,TOR,TTHORNTON-R,-135,-152,9,9
331,HOU,WMILEY-L,-119,-113,8,8.5
331,TAM,YCHIRINOS-R,-101,103,8,8.5
331,CLE,CCARRASCO-R,-115,-110,7,7
331,MIN,MPINEDA-R,-105,100,7,7
331,CWS,LGIOLITO-R,-105,117,9,8
331,KAN,JLOPEZ-R,-115,-127,9,8
331,LAA,TSKAGGS-L,-110,114,9,8.5
331,OAK,FMONTAS-R,-110,-124,9,8.5
331,BOS,RPORCELLO-R,-150,-136,9,8
331,SEA,WLEBLANC-L,130,126,9,8
331,CUB,CHAMELS-L,-155,-130,9.5,8.5
331,TEX,LLYNN-R,135,120,9.5,8.5
401,STL,AWAINWRIGHT-R,110,116,8,7.5
401,PIT,CARCHER-R,-130,-126,8,7.5
401,MIL,ZDAVIES-R,105,-109,8.5,8.5
401,CIN,TROARK-R,-125,-101,8.5,8.5
401,CUB,KHENDRICKS-R,-115,100,8.5,8
401,ATL,SNEWCOMB-L,-105,-110,8.5,8
401,NYM,SMATZ-L,-150,-125,8,7.5
401,MIA,CSMITH-L,130,115,8,7.5
401,SFO,DPOMERANZ-L,172,185,8,7.5
401,LAD,JURIAS-L,-205,-205,8,7.5
401,ARI,MKELLY-R,140,155,7.5,7.5
401,SDG,MSTRAHM-L,-160,-165,7.5,7.5
401,CWS,INOVA-R,148,150,7.5,7.5
401,CLE,MCLEVINGER-R,-170,-160,7.5,7.5
401,DET,TROSS-R,176,190,9,8.5
401,NYY,DGERMAN-R,-210,-210,9,8.5
401,BAL,DHESS-R,144,163,9,9
401,TOR,SREID-FOLEY-R,-165,-176,9,9
401,HOU,BPEACOCK-R,-165,-165,9.5,9.5
401,TEX,DSMYLY-L,144,155,9.5,9.5
401,BOS,DPRICE-L,-140,-140,8,9
401,OAK,ABROOKS-R,120,130,8,9
401,LAA,CSTRATTON-R,-110,-103,8.5,9
401,SEA,FHERNANDEZ-R,-110,-107,8.5,9
401,COL,CBETTIS-R,118,135,9,8.5
401,TAM,RSTANEK-R,-138,-145,9,8.5
402,MIL,JCHACIN-R,-121,-110,8.5,9
402,CIN,ADESCLAFANI-R,101,100,8.5,9
402,PHI,ZEFLIN-R,173,165,7,7
402,WAS,MSCHERZER-R,-206,-180,7,7
402,NYM,JVARGAS-L,-126,-136,8,8
402,MIA,JURENA-R,106,126,8,8
402,ARI,ZGREINKE-R,-111,106,7,7.5
402,SDG,ELAUER-L,-109,-116,7,7.5
402,SFO,MBUMGARNER-L,152,146,7,7
402,LAD,HRYU-L,-176,-156,7,7
402,DET,JZIMMERMANN-R,208,205,8,7.5
402,NYY,MTANAKA-R,-251,-230,8,7.5
402,BAL,ACASHNER-R,177,162,8.5,8.5
402,TOR,MSTROMAN-R,-211,-174,8.5,8.5
402,HOU,JVERLANDER-R,-221,-220,9,9
402,TEX,SMILLER-R,184,200,9,9
402,MIN,JBERRIOS-R,-141,-145,7.5,7
402,KAN,BKELLER-R,121,135,7.5,7
402,BOS,CSALE-L,-171,-170,7,8
402,OAK,MFIERS-R,148,160,7,8
402,LAA,TCAHILL-R,101,100,8.5,8.5
402,SEA,MGONZALES-L,-121,-110,8.5,8.5
402,COL,KFREELAND-L,131,160,7,7
402,TAM,BSNELL-L,-151,-170,7,7
403,MIL,FPERALTA-R,-109,118,8.5,8.5
403,CIN,LCASTILLO-R,-111,-128,8.5,8.5
403,PHI,ANOLA-R,-130,-135,7.5,8
403,WAS,ASANCHEZ-R,110,125,7.5,8
403,ARI,RRAY-L,115,132,7.5,7
403,SDG,JLUCCHESI-L,-135,-142,7.5,7
403,NYM,JDEGROM-R,-215,-210,7,6.5
403,MIA,TRICHARDS-R,180,190,7,6.5
403,STL,MMIKOLAS-R,-110,-104,7.5,7.5
403,PIT,JTAILLON-R,-110,-106,7.5,7.5
403,CUB,JLESTER-L,-115,120,8.5,9
403,ATL,JTEHERAN-R,-105,-130,8.5,9
403,SFO,DHOLLAND-L,180,175,7.5,7
403,LAD,RSTRIPLING-R,-215,-190,7.5,7
403,CWS,CRODON-L,166,170,7,6.5
403,CLE,CKLUBER-R,-195,-185,7,6.5
403,MIN,KGIBSON-R,-145,-130,8.5,8.5
403,KAN,HBAILEY-R,125,120,8.5,8.5
403,DET,MBOYD-L,163,163,8.5,9.5
403,NYY,JLOAISIGA-R,-190,-176,8.5,9.5
403,BAL,NKARNS-R,144,140,9,8.5
403,TOR,MSHOEMAKER-R,-165,-150,9,8.5
403,HOU,GCOLE-R,-165,-210,9,9
403,TEX,MMINOR-L,144,190,9,9
403,BOS,NEOVALDI-R,-130,-140,8.5,8.5
403,OAK,MESTRADA-R,110,130,8.5,8.5
403,COL,GMARQUEZ-R,112,114,7,6.5
403,TAM,CMORTON-R,-132,-124,7,6.5
404,WAS,SSTRASBURG-R,115,120,6.5,6.5
404,NYM,NSYNDERGAARD-R,-135,-130,6.5,6.5
404,CIN,TMAHLE-R,105,-110,7.5,8
404,PIT,JLYLES-R,-125,100,7.5,8
404,CUB,YDARVISH-R,100,112,9,9
404,ATL,MFRIED-L,-120,-122,9,9
404,KAN,JJUNIS-R,-110,-109,7.5,7.5
404,DET,STURNBULL-R,-110,-101,7.5,7.5
404,NYY,JPAXTON-L,-200,-215,8,7.5
404,BAL,ACOBB-R,170,195,8,7.5
404,BOS,ERODRIGUEZ-L,-120,-118,8.5,8
404,OAK,BANDERSON-L,100,108,8.5,8
404,TOR,ASANCHEZ-R,144,180,7,6.5
404,CLE,TBAUER-R,-165,-200,7,6.5
404,TEX,EVOLQUEZ-R,130,150,8,9
404,LAA,MHARVEY-R,-150,-160,8,9
405,LAD,KMAEDA-R,-130,-130,10.5,11
405,COL,TANDERSON-L,110,120,10.5,11
405,CIN,SGRAY-R,105,126,8,8
405,PIT,JMUSGROVE-R,-125,-136,8,8
405,MIA,PLOPEZ-R,151,150,8.5,8
405,ATL,KGAUSMAN-R,-175,-160,8.5,8
405,CUB,JQUINTANA-L,120,115,8.5,8.5
405,MIL,BWOODRUFF-R,-140,-125,8.5,8.5
405,TOR,TTHORNTON-R,120,130,7,7.5
405,CLE,SBIEBER-R,-140,-140,7,7.5
405,OAK,FMONTAS-R,144,145,8.5,8.5
405,HOU,CMCHUGH-R,-165,-155,8.5,8.5
405,TEX,LLYNN-R,115,107,8.5,8.5
405,LAA,FPENA-R,-135,-117,8.5,8.5
405,TAM,TGLASNOW-R,-135,-113,7,7
405,SFO,DRODRIGUEZ-R,115,103,7,7
405,MIN,JODORIZZI-R,115,146,8,8
405,PHI,NPIVETTA-R,-135,-156,8,8
405,BOS,RPORCELLO-R,-130,-127,9,9
405,ARI,ZGODLEY-R,110,117,9,9
405,SEA,YKIKUCHI-L,-130,-125,7.5,8.5
405,CWS,RLOPEZ-R,110,115,7.5,8.5
405,SDG,NMARGEVICIUS-L,125,163,7.5,8
405,STL,JFLAHERTY-R,-145,-176,7.5,8
406,WAS,PCORBIN-L,-110,-128,7,7
406,NYM,SMATZ-L,-110,118,7,7
406,CIN,TROARK-R,115,101,7,8
406,PIT,TWILLIAMS-R,-135,-111,7,8
406,SDG,CPADDACK-R,120,110,7.5,7.5
406,STL,MWACHA-R,-140,-120,7.5,7.5
406,CUB,CHAMELS-L,100,119,8.5,8.5
406,MIL,CBURNES-R,-120,-129,8.5,8.5
406,MIA,SALCANTARA-R,144,161,8,8.5
406,ATL,KWRIGHT-R,-165,-172,8,8.5
406,LAD,WBUEHLER-R,-145,-116,10,10
406,COL,JGRAY-R,125,106,10,10
406,KAN,JLOPEZ-R,105,112,8.5,9
406,DET,MMOORE-L,-125,-122,8.5,9
406,SEA,MLEAKE-R,-120,-105,8.5,9
406,CWS,LGIOLITO-R,100,-105,8.5,9
406,TEX,DSMYLY-L,105,150,8.5,8.5
406,LAA,TSKAGGS-L,-125,-160,8.5,8.5
406,TOR,TPANNONE-L,148,177,7,8
406,CLE,CCARRASCO-R,-170,-194,7,8
406,NYY,JHAPP-L,-195,-180,8.5,8.5
406,BAL,DBUNDY-R,166,165,8.5,8.5
406,OAK,ABROOKS-R,144,125,8.5,9.5
406,HOU,WMILEY-L,-165,-135,8.5,9.5
406,MIN,MPINEDA-R,136,138,8,8.5
406,PHI,JARRIETA-R,-156,-148,8,8.5
406,TAM,RSTANEK-R,-137,-132,7,7.5
406,SFO,JSAMARDZIJA-R,124,122,7,7.5
406,BOS,DPRICE-L,-151,-132,9,9
406,ARI,LWEAVER-R,131,122,9,9
407,WAS,MSCHERZER-R,-140,-128,6.5,6.5
407,NYM,ZWHEELER-R,120,118,6.5,6.5
407,MIA,CSMITH-L,155,160,8.5,8.5
407,ATL,SNEWCOMB-L,-180,-170,8.5,8.5
407,CIN,ADESCLAFANI-R,130,140,7.5,7.5
407,PIT,CARCHER-R,-150,-150,7.5,7.5
407,CUB,KHENDRICKS-R,105,-104,9,9
407,MIL,ZDAVIES-R,-125,-106,9,9
407,SDG,MSTRAHM-L,110,110,8.5,9
407,STL,AWAINWRIGHT-R,-130,-120,8.5,9
407,LAD,JURIAS-L,-140,-170,11,11.5
407,COL,CBETTIS-R,120,160,11,11.5
407,NYY,DGERMAN-R,-175,-185,9,9
407,BAL,DHESS-R,151,170,9,9
407,TOR,MSTROMAN-R,130,150,7,7.5
407,CLE,MCLEVINGER-R,-150,-160,7,7.5
407,KAN,BKELLER-R,-105,-106,8.5,9
407,DET,TROSS-R,-115,-104,8.5,9
407,OAK,MFIERS-R,140,165,9,9
407,HOU,BPEACOCK-R,-160,-180,9,9
407,SEA,WLEBLANC-L,-110,106,9,9
407,CWS,INOVA-R,-110,-116,9,9
407,TEX,SMILLER-R,115,107,9,9.5
407,LAA,CSTRATTON-R,-135,-117,9,9.5
407,MIN,JBERRIOS-R,110,124,8.5,8.5
407,PHI,ZEFLIN-R,-130,-134,8.5,8.5
407,TAM,YCHIRINOS-R,-130,-115,7.5,7
407,SFO,DPOMERANZ-L,110,105,7.5,7
407,BOS,Undecided,-115,-106,9.5,9.5
407,ARI,MKELLY-R,-105,-104,9.5,9.5
408,PIT,JTAILLON-R,117,120,8,8.5
408,CUB,JLESTER-L,-129,-130,8,8.5
408,WAS,ASANCHEZ-R,120,135,9,9.5
408,PHI,VVELASQUEZ-R,-140,-145,9,9.5
408,LAD,HRYU-L,-130,-103,8.5,8
408,STL,MMIKOLAS-R,110,-107,8.5,8
408,ATL,JTEHERAN-R,125,100,10,10.5
408,COL,KFREELAND-L,-145,-110,10,10.5
408,SDG,ELAUER-L,115,120,7,7
408,SFO,MBUMGARNER-L,-135,-130,7,7
408,TAM,BSNELL-L,-150,-168,7.5,7.5
408,CWS,CRODON-L,130,158,7.5,7.5
408,OAK,MESTRADA-R,-150,-162,9,10
408,BAL,ACASHNER-R,130,152,9,10
408,NYY,MTANAKA-R,140,138,7.5,7.5
408,HOU,JVERLANDER-R,-160,-148,7.5,7.5
408,SEA,FHERNANDEZ-R,-140,-110,9,10
408,KAN,HBAILEY-R,120,100,9,10
408,MIL,JCHACIN-R,-120,-106,8.5,9
408,LAA,TCAHILL-R,100,-104,8.5,9
409,MIA,JURENA-R,140,170,8,8.5
409,CIN,LCASTILLO-R,-160,-185,8,8.5
409,WAS,SSTRASBURG-R,120,133,7,8
409,PHI,ANOLA-R,-140,-143,7,8
409,LAD,RSTRIPLING-R,-130,-120,8.5,8.5
409,STL,DHUDSON-R,110,110,8.5,8.5
409,ATL,MFRIED-L,105,-102,10.5,10.5
409,COL,GMARQUEZ-R,-125,-108,10.5,10.5
409,SDG,JLUCCHESI-L,-125,-132,7.5,7.5
409,SFO,DHOLLAND-L,105,122,7.5,7.5
409,CLE,CKLUBER-R,-160,-135,7,8
409,DET,JZIMMERMANN-R,140,125,7,8
409,TOR,MSHOEMAKER-R,199,225,7.5,8
409,BOS,CSALE-L,-240,-255,7.5,8
409,TAM,CMORTON-R,-145,-170,8,8.5
409,CWS,ESANTANA-R,125,160,8,8.5
409,OAK,BANDERSON-L,-145,-180,9,9.5
409,BAL,JMEANS-L,125,165,9,9.5
409,NYY,JLOAISIGA-R,151,178,8.5,8
409,HOU,GCOLE-R,-175,-196,8.5,8
409,SEA,MGONZALES-L,-130,100,9,9
409,KAN,JJUNIS-R,110,-110,9,9
409,MIN,KGIBSON-R,184,230,6.5,6.5
409,NYM,JDEGROM-R,-220,-260,6.5,6.5
409,TEX,MMINOR-L,120,135,8.5,8.5
409,ARI,ZGREINKE-R,-140,-145,8.5,8.5
409,MIL,FPERALTA-R,-120,-138,8.5,8.5
409,LAA,MHARVEY-R,100,128,8.5,8.5
410,SDG,NMARGEVICIUS-L,-110,-105,7.5,8
410,SFO,DRODRIGUEZ-R,-110,-105,7.5,8
410,MIA,TRICHARDS-R,130,145,8.5,9
410,CIN,TMAHLE-R,-150,-155,8.5,9
410,WAS,JHELLICKSON-R,128,147,9,9
410,PHI,NPIVETTA-R,-148,-157,9,9
410,LAD,KMAEDA-R,-107,-105,8.5,8
410,STL,JFLAHERTY-R,-113,-105,8.5,8
410,PIT,JLYLES-R,135,157,7,7.5
410,CUB,YDARVISH-R,-155,-167,7,7.5
410,CLE,TBAUER-R,-151,-145,7.5,7
410,DET,MBOYD-L,131,135,7.5,7
410,TAM,TGLASNOW-R,-140,-170,8.5,8.5
410,CWS,RLOPEZ-R,120,160,8.5,8.5
410,OAK,FMONTAS-R,-137,-180,9.5,9.5
410,BAL,DSTRAILY-R,117,165,9.5,9.5
410,NYY,JPAXTON-L,110,110,8,8
410,HOU,CMCHUGH-R,-130,-120,8,8
410,SEA,YKIKUCHI-L,-125,-155,9,9.5
410,KAN,HFILLMYER-R,105,145,9,9.5
410,MIN,JODORIZZI-R,180,175,7,7
410,NYM,NSYNDERGAARD-R,-215,-190,7,7
410,TEX,LLYNN-R,127,120,8.5,8
410,ARI,RRAY-L,-147,-130,8.5,8
410,MIL,BWOODRUFF-R,-115,-170,8.5,8
410,LAA,FPENA-R,-105,160,8.5,8
411,MIA,PLOPEZ-R,148,157,8.5,8.5
411,CIN,SGRAY-R,-170,-167,8.5,8.5
411,LAD,WBUEHLER-R,-140,-134,8,8.5
411,STL,MWACHA-R,120,124,8,8.5
411,NYM,SMATZ-L,110,122,8.5,9
411,ATL,KGAUSMAN-R,-130,-132,8.5,9
