Date,Team,Pitcher,Open,Close,OpenOU,CloseOU
723,NYY,GCOLE-R,-126,-170,7,7.5
723,WAS,MSCHERZER-R,114,160,7,7.5
723,SFO,JCUETO-R,264,250,8,9
723,LAD,DMAY-R,-300,-290,8,9
724,ATL,MSOROKA-R,110,157,8,7.5
724,NYM,JDEGROM-R,-130,-167,8,7.5
724,DET,MBOYD-L,-200,163,8,9
724,CIN,SGRAY-R,170,-176,8,9
724,TOR,HRYU-L,-140,135,8.5,7.5
724,TAM,CMORTON-R,120,-145,8.5,7.5
724,MIA,SALCANTARA-R,-175,185,8,9
724,PHI,ANOLA-R,151,-205,8,9
724,KAN,DDUFFY-L,115,205,8,9
724,CLE,SBIEBER-R,-135,-225,8,9
724,MIL,BWOODRUFF-R,-140,105,8,8.5
724,CUB,KHENDRICKS-R,120,-115,8,8.5
724,BAL,TMILONE-L,166,195,9.5,10
724,BOS,NEOVALDI-R,-185,-215,9.5,10
724,COL,GMARQUEZ-R,-140,-105,8,9
724,TEX,LLYNN-R,120,-105,8,9
724,MIN,JBERRIOS-R,-160,-117,8.5,9
724,CWS,LGIOLITO-R,140,107,8.5,9
724,PIT,JMUSGROVE-R,-110,165,8.5,8
724,STL,JFLAHERTY-R,-110,-180,8.5,8
724,SEA,MGONZALES-L,120,250,8.5,8.5
724,HOU,JVERLANDER-R,-140,-290,8.5,8.5
724,ARI,MBUMGARNER-L,-140,130,8.5,8
724,SDG,CPADDACK-R,120,-140,8.5,8
724,SFO,TANDERSON-L,213,285,8.5,9
724,LAD,RSTRIPLING-R,-240,-330,8.5,9
724,LAA,AHEANEY-L,-140,136,8.5,8.5
724,OAK,FMONTAS-R,120,-146,8.5,8.5
725,MIL,CBURNES-R,131,140,9.5,9.5
725,CUB,YDARVISH-R,-145,-150,9.5,9.5
725,BAL,ACOBB-R,157,180,10.5,10.5
725,BOS,MPEREZ-L,-175,-200,10.5,10.5
725,MIN,RDOBNAK-R,-125,-110,9.5,10
725,CWS,DKEUCHEL-L,114,100,9.5,10
725,PIT,TWILLIAMS-R,144,141,9,9
725,STL,AWAINWRIGHT-R,-160,-151,9,9
725,TOR,MSHOEMAKER-R,135,135,8.5,8.5
725,TAM,RYARBROUGH-L,-155,-145,8.5,8.5
725,MIA,CSMITH-L,160,170,9,9
725,PHI,ZWHEELER-R,-185,-185,9,9
725,COL,JGRAY-R,-115,110,9,8.5
725,TEX,MMINOR-L,-105,-120,9,8.5
725,SEA,TWALKER-R,215,260,9.5,9.5
725,HOU,LMCCULLERSJR-R,-260,-300,9.5,9.5
725,LAA,DBUNDY-R,151,114,9,8.5
725,OAK,SMANAEA-L,-175,-124,9,8.5
725,SFO,LWEBB-R,245,320,5.5,9.5
725,LAD,AWOOD-L,-300,-380,5.5,9.5
725,ATL,MFRIED-L,100,-116,9,9
725,NYM,SMATZ-L,-120,106,9,9
725,DET,INOVA-R,170,245,9,9
725,CIN,LCASTILLO-R,-200,-280,9,9
725,KAN,BSINGER-R,207,230,9,9
725,CLE,MCLEVINGER-R,-250,-260,9,9
725,NYY,JPAXTON-L,-120,-220,8.5,10
725,WAS,EFEDDE-R,100,200,8.5,10
725,ARI,RRAY-L,100,118,8.5,8
725,SDG,DLAMET-R,-120,-128,8.5,8
726,MIA,RDUGGER-R,140,185,9,9.5
726,PHI,VVELASQUEZ-R,-155,-205,9,9.5
726,NYY,JLOAISIGA-R,-110,-120,10,10
726,WAS,PCORBIN-L,100,110,10,10
726,TOR,THATCH-R,170,170,8,8
726,TAM,BSNELL-L,-200,-185,8,8
726,DET,STURNBULL-R,213,177,9,9.5
726,CIN,TBAUER-R,-240,-194,9,9.5
726,KAN,RBOLANOS-R,213,200,9,9
726,CLE,CCARRASCO-R,-240,-220,9,9
726,BAL,WLEBLANC-L,170,178,11,11
726,BOS,RWEBER-R,-190,-196,11,11
726,MIN,KMAEDA-R,-120,-150,10.5,10
726,CWS,RLOPEZ-R,110,140,10.5,10
726,SEA,YKIKUCHI-L,304,235,9,9
726,HOU,ZGREINKE-R,-350,-265,9,9
726,PIT,MKELLER-R,188,130,9,9
726,STL,DHUDSON-R,-210,-140,9,9
726,MIL,FPERALTA-R,-115,-105,11,11.5
726,CUB,TCHATWOOD-R,-105,-105,11,11.5
726,COL,KFREELAND-L,157,130,9,8.5
726,TEX,CKLUBER-R,-175,-140,9,8.5
726,LAA,SOHTANI-R,-115,100,9,9
726,OAK,MFIERS-R,105,-110,9,9
726,ARI,ZGALLEN-R,105,115,8.5,8
726,SDG,GRICHARDS-R,-125,-125,8.5,8
726,ATL,SNEWCOMB-L,-115,-105,9,9.5
726,NYM,RPORCELLO-R,-105,-105,9,9.5
726,SFO,DSMYLY-L,304,270,9,9
726,LAD,JURIAS-L,-350,-310,9,9
727,LAA,GCANNING-R,105,110,9,9
727,OAK,CBASSITT-R,-125,-120,9,9
727,ARI,LWEAVER-R,118,107,7.5,8.5
727,SDG,JLUCCHESI-L,-131,-117,7.5,8.5
727,TOR,TTHORNTON-R,144,110,10,10.5
727,WAS,ASANCHEZ-R,-165,-120,10,10.5
727,CUB,JLESTER-L,100,-115,9.5,10
727,CIN,WMILEY-L,-120,105,9.5,10
727,ATL,MFOLTYNEWICZ-R,130,130,8.5,8
727,TAM,TGLASNOW-R,-150,-140,8.5,8
727,MIL,AHOUSER-R,-135,-168,9,9.5
727,PIT,SBRAULT-L,115,158,9,9.5
727,SEA,KGRAVEMAN-R,226,210,9.5,9
727,HOU,JJAMES-R,-275,-240,9.5,9
727,KAN,MMONTGOMERY-L,115,107,9.5,9.5
727,DET,MFULMER-R,-135,-117,9.5,9.5
727,NYM,MWACHA-R,100,-113,10.5,11.5
727,BOS,JOSICH-L,-110,103,10.5,11.5
728,TOR,TROARK-R,115,129,10.5,10
728,WAS,AVOTH-R,-135,-139,10.5,10
728,ATL,KWRIGHT-R,125,120,9,8.5
728,TAM,YCHIRINOS-R,-145,-130,9,8.5
728,CUB,AMILLS-R,-110,119,10,10.5
728,CIN,TMAHLE-R,-110,-129,10,10.5
728,MIL,JLINDBLOM-R,-145,-180,9.5,10
728,PIT,DHOLLAND-L,125,165,9.5,10
728,CWS,CRODON-L,-105,118,9.5,10.5
728,CLE,APLUTKO-R,-115,-128,9.5,10.5
728,KAN,KZIMMER-R,100,-105,10.5,10.5
728,DET,RGARCIA-R,-110,-105,10.5,10.5
728,NYM,DPETERSON-L,-115,-112,11.5,11.5
728,BOS,MHALL-L,105,102,11.5,11.5
728,STL,CMARTINEZ-R,115,132,10,10.5
728,MIN,HBAILEY-R,-135,-142,10,10.5
728,ARI,MKELLY-R,100,-106,9.5,9
728,TEX,KGIBSON-R,-120,-104,9.5,9
728,LAD,WBUEHLER-R,-145,-144,9,10
728,HOU,FVALDEZ-L,125,134,9,10
728,SEA,JSHEFFIELD-L,155,170,9,9
728,LAA,PSANDOVAL-L,-180,-185,9,9
728,COL,ASENZATELA-R,-145,148,10,9.5
728,OAK,DMENGDEN-R,125,-158,10,9.5
728,SDG,ZDAVIES-R,-150,-148,8,9
728,SFO,JSAMARDZIJA-R,135,138,8,9
728,CWS,DCEASE-R,135,119,9.5,9
728,CLE,ACIVALE-R,-150,-129,9.5,9
729,COL,GMARQUEZ-R,110,127,9,8
729,OAK,FMONTAS-R,-130,-137,9,8
729,ARI,MBUMGARNER-L,120,110,8.5,8
729,TEX,LLYNN-R,-140,-120,8.5,8
729,CWS,LGIOLITO-R,-110,-114,9,9.5
729,CLE,ZPLESAC-R,-110,104,9,9.5
729,WAS,MSCHERZER-R,-165,-174,9,8.5
729,TOR,NPEARSON-R-L,144,162,9,8.5
729,CUB,KHENDRICKS-R,105,100,9.5,9
729,CIN,SGRAY-R,-125,-110,9.5,9
729,MIL,BWOODRUFF-R,-175,-143,9,8.5
729,PIT,JMUSGROVE-R,151,133,9,8.5
729,LAD,DMAY-R,-130,-140,10,10
729,HOU,CJAVIER-R,118,130,10,10
729,BOS,NEOVALDI-R,170,180,8,7.5
729,NYM,JDEGROM-R,-200,-200,8,7.5
729,TAM,CMORTON-R,120,115,8.5,8.5
729,ATL,MSOROKA-R,-140,-125,8.5,8.5
729,KAN,DDUFFY-L,110,110,9,9.5
729,DET,MBOYD-L,-130,-120,9,9.5
729,STL,DPONCEDELEON-R,130,146,10,10
729,MIN,RHILL-L,-150,-156,10,10
729,SDG,CPADDACK-R,-165,-180,7.5,7.5
729,SFG,JCUETO-R,144,165,7.5,7.5
729,SEA,JDUNN-R,160,240,9,9
729,LAA,AHEANEY-L,-185,-270,9,9
729,NYY,GCOLE-R,-350,-360,9,9
729,BAL,AWOJCIECHOWSKI-R,304,310,9,9
730,WAS,EFEDDE-R,118,140,9,9.5
730,TOR,HRYU-L,-131,-150,9,9.5
730,KAN,BSINGER-R,-110,-149,10,9.5
730,DET,INOVA-R,-110,139,10,9.5
730,TAM,RYARBROUGH-L,110,139,8.5,9
730,ATL,MFRIED-L,-130,-149,8.5,9
730,BOS,MPEREZ-L,148,152,9,9.5
730,NYM,SMATZ-L,-170,-162,9,9.5
730,CLE,SBIEBER-R,-115,113,9,8.5
730,MIN,JBERRIOS-R,-105,-123,9,8.5
730,LAD,RSTRIPLING-R,-161,-157,9,9.5
730,ARI,RRAY-L,141,147,9,9.5
730,SEA,MGONZALES-L,172,163,9,9
730,LAA,DBUNDY-R,-205,-175,9,9
730,SDG,DLAMET-R,-170,-160,8.5,8
730,SFO,UNDECIDED,148,150,8.5,8
730,NYY,JHAPP-L,-210,-240,10,11
730,BAL,JMEANS-L,176,210,10,11
731,TAM,BSNELL-L,-220,-188,9.5,8.5
731,BAL,ACOBB-R,196,173,9.5,8.5
731,BOS,RWEBER-R,213,165,10.5,10.5
731,NYY,JMONTGOMERY-L,-240,-180,10.5,10.5
731,CIN,LCASTILLO-R,-145,-170,9,8.5
731,DET,STURNBULL-R,131,160,9,8.5
731,NYM,RPORCELLO-R,135,117,10,10.5
731,ATL,SNEWCOMB-L,-150,-127,10,10.5
731,CWS,DKEUCHEL-L,-140,-160,10,9.5
731,KAN,KBUBIC-L,126,150,10,9.5
731,CLE,MCLEVINGER-R,-126,-114,8.5,9
731,MIN,RDOBNAK-R,114,104,8.5,9
731,SDG,GRICHARDS-R,110,-108,11.5,11.5
731,COL,JGRAY-R,-120,-102,11.5,11.5
731,PIT,TWILLIAMS-R,162,180,8.5,8.5
731,CUB,YDARVISH-R,-180,-200,8.5,8.5
731,HOU,LMCCULLERSJR-R,-150,-180,9.5,9.5
731,LAA,MANDRIESE-R,135,165,9.5,9.5
731,TEX,MMINOR-L,-155,-122,8,8
731,SFO,LWEBB-R,140,112,8,8
731,LAD,TGONSOLIN-R,-140,-122,9.5,9.5
731,ARI,ZGALLEN-R,126,112,9.5,9.5
731,OAK,SMANAEA-L,-175,-194,9,9.5
731,SEA,TWALKER-R,157,177,9,9.5
801,CWS,GGONZALEZ-L,-135,-135,10,10.5
801,KAN,RBOLANOS-R,115,125,10,10.5
801,TAM,TGLASNOW-R,-220,-240,9,9
801,BAL,WLEBLANC-L,184,210,9,9
801,CLE,CCARRASCO-R,100,116,9,8.5
801,MIN,KMAEDA-R,-120,-126,9,8.5
801,NYM,MWACHA-R,105,103,10,10.5
801,ATL,TTOUSSAINT-R,-125,-113,10,10.5
801,HOU,ZGREINKE-R,-165,-145,9,9
801,LAA,GCANNING-R,144,135,9,9
801,BOS,ZGODLEY-R,207,170,10,10
801,NYY,MTANAKA-R,-250,-185,10,10
801,LAD,JURIAS-L,-145,-155,9.5,9.5
801,ARI,LWEAVER-R,125,145,9.5,9.5
801,SDG,JLUCCHESI-L,-110,-110,12,12.5
801,COL,KFREELAND-L,-110,100,12,12.5
801,PIT,MKELLER-R,160,165,9,9
801,CUB,TCHATWOOD-R,-185,-180,9,9
801,OAK,MFIERS-R,-155,-148,9.5,9.5
801,SEA,YKIKUCHI-L,135,138,9.5,9.5
801,TEX,JLYLES-R,-130,113,8.5,8.5
801,SFO,DSMYLY-L,110,-123,8.5,8.5
802,TAM,YCHIRINOS-R,-190,-200,10,9.5
802,BAL,TMILONE-L,163,180,10,9.5
802,CIN,ADESCLAFANI-R,-160,-150,9.5,7.5
802,DET,RGARCIA-R,140,140,9.5,7.5
802,NYM,DPETERSON-L,-110,105,11,11
802,ATL,KWRIGHT-R,-110,-115,11,11
802,CWS,DCEASE-R,-121,-120,10.5,9.5
